node,degree,closeness,betweenness,community,triangles,clustering
101,994.099999999997,0.7361827560795873,0.0010288177288845291,6,142541,0.02065579672159131
102,1514.1999999999912,0.6875430144528561,0.00034349646908097127,0,97331,0.03845373606964865
103,913.0999999999964,0.6568047337278107,0.000349380776902487,1,74847,0.023906529686205238
104,1490.299999999993,0.708008504606662,0.0002965557407775176,5,116499,0.035429158937417486
105,1072.8999999999962,0.7040169133192389,0.00029478376171762936,3,104995,0.021175191271531422
106,1441.4999999999898,0.7356406480117821,0.0004882303813499537,5,140118,0.030477799064374755
107,954.2999999999969,0.721820809248555,0.0001953188993937157,6,129910,0.02050996615856477
108,1047.7999999999945,0.6833105335157319,0.0009678889104406808,1,99286,0.02434110656971323
109,813.8999999999979,0.621268656716418,0.00011033077165341694,3,50170,0.027459485567927402
110,1537.5999999999901,0.7015449438202247,0.00044533511467379205,0,112151,0.03698780520951104
111,1200.0999999999945,0.7884767166535123,0.0014345340664645941,1,187484,0.021001326995930936
112,1260.7999999999936,0.7897233201581028,0.0004795042203191835,4,182070,0.022067312755175462
113,985.4999999999959,0.7181883537023724,0.0005272473542346623,6,131438,0.021540482027525166
114,1039.3999999999962,0.7494373593398349,0.00110955979359453,6,149763,0.01921015071814687
115,1076.299999999992,0.7573919636087946,0.0005444193486945658,1,154815,0.019595972605314222
116,1051.099999999995,0.7556732223903178,0.0008084722847581899,6,159481,0.019193640170656046
117,1561.3999999999892,0.7223427331887202,0.00041424189720782906,5,125219,0.032927624191905765
118,1560.6999999999912,0.7859952793076318,0.00019354692033382752,0,185997,0.029485272966825533
119,1838.999999999982,0.7585421412300684,0.00016365731128590186,0,165061,0.035523874067259646
120,1434.399999999989,0.7291970802919708,0.000755331149452726,0,130603,0.031275546715354735
121,1747.9999999999895,0.7433035714285714,0.00016621497917423101,0,150814,0.03559685670312345
122,1473.1999999999887,0.8208709942481512,0.00011008240801159972,5,203894,0.024870067732347626
123,1456.499999999993,0.6908713692946058,4.814433672149103e-05,0,106961,0.038172461756985764
124,1901.4999999999884,0.7466367713004485,0.0008502705396492977,0,147604,0.036553855342188066
125,1492.7999999999913,0.7522590361445783,0.00012845176505831148,0,161074,0.03157782349436221
126,1274.7999999999945,0.6851851851851852,0.000557003229013917,4,98202,0.030581313599713236
127,1224.9999999999939,0.7176724137931034,0.00034737476287242486,3,122828,0.024724042767631047
128,824.9999999999977,0.6232064878353087,0.00047315184255732013,6,48204,0.024874725865697812
129,1162.6999999999941,0.6529411764705882,0.0005471737602666126,6,71366,0.02879581983681162
