,node,degree,closeness,betweenness,community,triangles,clustering
288,289,1748.199999999988,0.8311148086522463,0.0003209622448099,0,214161,0.0280059239197418
166,167,1423.6999999999907,0.7297297297297297,1.598124510616161e-05,0,145920,0.0331364416976129
163,164,1600.599999999988,0.7260174418604651,0.0003386820354088,0,128375,0.0339998349637508
737,738,1680.3999999999887,0.8161764705882353,0.0009440302025472,0,201348,0.0275177057365586
748,749,1653.4999999999875,0.7916006339144216,0.0001580070384345,0,189323,0.0299166811330689
746,747,1376.5999999999924,0.7025316455696202,5.683706418509358e-06,0,113481,0.0348397257400161
744,745,1363.199999999991,0.728134110787172,3.771306376516797e-05,0,139450,0.031538530007306
739,740,1478.499999999991,0.728134110787172,0.0002997653632256,0,131640,0.0320574007715742
160,161,1581.1999999999937,0.6923076923076923,0.0008342009344013,0,102566,0.0389906032624166
283,284,1808.1999999999891,0.7356406480117821,0.0004640937339668,0,141460,0.0373036302090911
277,278,1640.599999999986,0.7516930022573364,0.0015998630561088,0,148478,0.0310057663923252
275,276,1521.8999999999928,0.7105263157894737,0.0001100298695489,0,128996,0.0375706622238354
574,575,1498.0999999999926,0.7202595529920692,0.0003288860002286,0,125383,0.0336789982756095
568,569,1483.3999999999912,0.7505634861006761,0.0001719154023763,0,161623,0.0314796077541396
594,595,1542.3999999999864,0.8222222222222222,0.0002364612919055,0,205623,0.0258993879460054
592,593,1564.3999999999917,0.7212996389891697,0.0003375285773415,0,130684,0.0350449306516338
583,584,1573.599999999988,0.7872340425531915,0.0005859980921214,0,181323,0.0278448038023466
579,580,1451.399999999992,0.676829268292683,0.0001386490030444,0,94838,0.0405527136207043
274,275,1368.1999999999894,0.7115384615384616,0.000505701808307,0,122428,0.032453432424606
273,274,1910.4999999999868,0.7591185410334347,0.0005768627679115,0,161546,0.0357473696204393
608,609,1678.699999999989,0.7556732223903178,0.0006761270288324,0,154078,0.031822439475426
606,607,1914.099999999988,0.7732198142414861,0.0001652955560771,0,176432,0.0341635292331179
188,189,1713.1999999999898,0.7631779984721161,0.0011614041117492,0,155606,0.0306923367244615
185,186,1816.1999999999869,0.8168438266557645,0.0004357062473294,0,203913,0.0295183187732052
181,182,1476.7999999999895,0.7455223880597015,0.0005551309492525,0,155545,0.0315396787167784
179,180,1421.3999999999917,0.7176724137931034,0.0003440982732899,0,123523,0.0328055455627529
722,723,1711.6999999999891,0.7329420396184886,9.37811559054044e-05,0,142513,0.036695549265803
713,714,1400.0999999999894,0.7394522575869726,0.0004984944864704,0,136725,0.02940229125888
711,712,1322.499999999989,0.7207792207792207,0.0005717139985677,0,132592,0.0309327340634584
177,178,1691.0999999999883,0.7324046920821115,0.0009235187090898,0,130908,0.0342575418435991
176,177,1551.19999999999,0.7265454545454545,0.0001237710656548,0,135226,0.0340913636954356
170,171,1611.1999999999891,0.7254901960784313,0.0007031859291934,0,127123,0.0340026216683514
169,170,1513.7999999999938,0.6602775941837409,0.0004754405222007,0,82370,0.0460523519622121
196,197,1242.2999999999925,0.6668891855807744,7.739870799323037e-05,0,82990,0.0379955492317206
686,687,1523.39999999999,0.7637614678899083,2.803643418205876e-05,0,169829,0.0307684848472456
